gene,counts
CHL1,5662.0
SCAMP5,5656.0
ABI2,5653.0
NDUFB4,5642.0
TMEM160,5640.0
SLIRP,5631.0
BMERB1,5607.0
DIRAS2,5601.0
ITPR1,5596.0
ATP6V1G2,5590.0
SEPTIN11,5589.0
SRP9,5581.0
MYT1L,5579.0
LUC7L3,5573.0
CEND1,5572.0
JUND,5568.0
ARL6IP5,5555.0
LY6H,5539.0
PPFIA2,5531.0
SLC39A10,5520.0
SNAP91,5504.0
MAPT,5500.0
PTGES3,5490.0
CTSD,5486.0
DBI,5484.0
SPOCK1,5475.0
NRN1,5473.0
SYNE1,5457.0
MT1E,5454.0
CTXN1,5449.0
CIRBP,5447.0
MLF2,5446.0
GJA1,5422.0
SLC25A4,5411.0
DDX17,5409.0
ZFAND5,5409.0
AKT3,5389.0
HP1BP3,5388.0
INPP5F,5387.0
TUBA4A,5376.0
WNK1,5372.0
ATP6V0A1,5367.0
HNRNPC,5351.0
SOD2,5339.0
EIF5B,5334.0
NEMF,5323.0
NSG2,5312.0
RAN,5311.0
RAB6A,5307.0
RCAN2,5305.0
SEZ6L2,5304.0
BSG,5302.0
EIF4H,5300.0
PTPN11,5285.0
PCM1,5276.0
GRIN2A,5274.0
DYNC1LI2,5268.0
PLEKHB1,5267.0
NDUFAB1,5256.0
HTRA1,5253.0
MTPN,5246.0
DYNC1I2,5241.0
TXN,5230.0
NDUFA11,5215.0
ATP6AP2,5215.0
CELF2,5213.0
PAIP2,5211.0
CD63,5196.0
SNX10,5193.0
GABBR2,5184.0
SIRPA,5166.0
TACC1,5162.0
ARF1,5159.0
ATP1A3,5150.0
MARCH6,5133.0
FEZ1,5133.0
NPM1,5132.0
PLEKHB2,5131.0
TCAF1,5121.0
FKBP3,5116.0
CNKSR2,5114.0
CHMP3,5096.0
C18orf32,5085.0
GAS7,5085.0
H3F3A,5078.0
ARHGDIG,5056.0
GPRC5B,5054.0
HIPK2,5050.0
KLHDC3,5041.0
PTP4A2,5036.0
EIF4B,5035.0
KMT2E,5011.0
ATP1B2,5005.0
EIF1AX,5002.0
INA,5001.0
EIF2S2,5001.0
H3F3B,4988.0
ABR,4987.0
HNRNPA3,4985.0
ACO2,4984.0
DNAJB6,4978.0
DNAJC8,4974.0
PPP2CA,4969.0
RAD21,4964.0
APLP1,4960.0
MPHOSPH8,4957.0
CALY,4952.0
CLASP2,4950.0
CSRP1,4947.0
AK5,4947.0
ADCY1,4938.0
MAST3,4938.0
ZFR,4936.0
RHBDD2,4924.0
NARS,4902.0
KIAA0408,4900.0
NDUFA2,4899.0
FAM171B,4897.0
DCTN1,4897.0
IQSEC1,4894.0
PNISR,4860.0
HABP4,4853.0
RAPGEF4,4848.0
PDE4DIP,4825.0
VDAC1,4824.0
RABEP1,4824.0
NDUFC2,4820.0
NPTXR,4819.0
SUMO2,4801.0
SNU13,4798.0
SLC12A5,4794.0
EPS15,4785.0
UBE2V2,4777.0
DLGAP1,4775.0
C12orf57,4766.0
SLC8A1,4763.0
PSD,4762.0
NCOA7,4760.0
CLTA,4751.0
ZMAT2,4742.0
SARS,4741.0
ENHO,4740.0
S100A6,4737.0
TPPP,4736.0
PNMA1,4727.0
EIF4G3,4727.0
WASF1,4710.0
ATP6V0E2,4706.0
BCLAF1,4703.0
TTC9B,4694.0
TUBB3,4692.0
ALDH2,4670.0
EIF3A,4666.0
EVL,4666.0
PDXP,4665.0
PPA1,4664.0
CNTNAP2,4663.0
PGRMC1,4659.0
