cell_id,sample_id,technology,x_centroid,y_centroid,predicted_celltype,max_celltype_score
aafifcgi-1,Br2039,Xenium,493.3273620605469,1075.1435546875,Astrocyte,5.248685359954834
aafjfpcc-1,Br2039,Xenium,486.69696044921875,1061.60888671875,Astrocyte,5.595378398895264
aafjnnmm-1,Br2039,Xenium,522.8924560546875,1119.8367919921875,Astrocyte,5.328909873962402
aafkghbj-1,Br2039,Xenium,516.1737060546875,1157.8385009765625,Inhibitory_neuron,0.645472526550293
aafkpjka-1,Br2039,Xenium,529.2141723632812,1131.294677734375,Astrocyte,2.3666763305664062
aafmfffo-1,Br2039,Xenium,489.1417541503906,1126.6640625,Oligodendrocyte,4.935666084289551
aagjiiok-1,Br2039,Xenium,458.9994812011719,1064.71240234375,Oligodendrocyte,4.855900764465332
aagjlial-1,Br2039,Xenium,456.4941101074219,1085.6907958984375,Astrocyte,5.504916667938232
aaglamlk-1,Br2039,Xenium,453.6985168457031,1077.1419677734375,Astrocyte,5.082765102386475
aagookbl-1,Br2039,Xenium,467.88427734375,1073.4547119140625,Astrocyte,5.399064064025879
aagpijlc-1,Br2039,Xenium,478.9363708496094,1334.2135009765625,Microglia,4.810733795166016
aahbeokj-1,Br2039,Xenium,493.74993896484375,1423.2999267578125,Astrocyte,4.790740013122559
aahbhdbk-1,Br2039,Xenium,490.6002502441406,1379.679443359375,Astrocyte,5.219193458557129
aahblphl-1,Br2039,Xenium,484.0824890136719,1344.3984375,Microglia,4.7302141189575195
aahcdkke-1,Br2039,Xenium,486.5653076171875,1508.53759765625,Astrocyte,5.662105560302734
aahfipfj-1,Br2039,Xenium,470.86505126953125,1529.215576171875,Astrocyte,3.9873170852661133
aahfplgm-1,Br2039,Xenium,501.7919006347656,1586.890869140625,Astrocyte,5.233043193817139
aahhkdnk-1,Br2039,Xenium,485.54046630859375,1578.601806640625,Astrocyte,5.149946689605713
aahjjojl-1,Br2039,Xenium,496.51348876953125,1558.5262451171875,Astrocyte,5.102414608001709
aahjkbpk-1,Br2039,Xenium,436.4836120605469,1389.7548828125,Astrocyte,5.230511665344238
aahlmbnl-1,Br2039,Xenium,453.2291564941406,1582.006103515625,Astrocyte,2.8633761405944824
aahmmkpd-1,Br2039,Xenium,456.5442810058594,1572.8038330078125,Astrocyte,3.087385654449463
aahogoha-1,Br2039,Xenium,463.3197326660156,1543.8863525390625,Astrocyte,5.039259910583496
aahpcbgp-1,Br2039,Xenium,454.59442138671875,1446.0675048828125,Microglia,4.627385139465332
aahpjibk-1,Br2039,Xenium,448.5212707519531,1416.22314453125,Astrocyte,3.9066855907440186
aaifpkhi-1,Br2039,Xenium,513.7346801757812,1350.199462890625,Astrocyte,4.560123443603516
aaigipfp-1,Br2039,Xenium,508.53021240234375,1522.6324462890625,Astrocyte,4.441561698913574
aaihcinj-1,Br2039,Xenium,519.3516845703125,1376.1856689453125,Endothelial,3.924724578857422
aaihnooa-1,Br2039,Xenium,520.2481689453125,1366.7584228515625,Astrocyte,4.445387363433838
aaiicfep-1,Br2039,Xenium,446.2761535644531,1323.4761962890625,Astrocyte,4.88559627532959
aaiiliah-1,Br2039,Xenium,440.8255615234375,1363.0400390625,Astrocyte,5.697061061859131
aainabgc-1,Br2039,Xenium,423.67138671875,1341.8037109375,Microglia,5.457744598388672
aaindmag-1,Br2039,Xenium,442.157470703125,1337.6085205078125,Microglia,1.555306315422058
aaingajj-1,Br2039,Xenium,439.76898193359375,1201.2025146484375,Inhibitory_neuron,0.8390173316001892
aaippchb-1,Br2039,Xenium,452.5934753417969,1264.3558349609375,Astrocyte,5.560067176818848
aajangac-1,Br2039,Xenium,466.0490417480469,1266.1712646484375,Astrocyte,5.23289680480957
aajceinn-1,Br2039,Xenium,473.862548828125,1208.3973388671875,Excitatory_neuron,1.9683700799942017
aajekbbi-1,Br2039,Xenium,452.9219665527344,1275.8193359375,Astrocyte,5.073328018188477
aajipffa-1,Br2039,Xenium,417.68072509765625,1289.2801513671875,Astrocyte,3.8757290840148926
aajjjbmp-1,Br2039,Xenium,426.67401123046875,1286.998779296875,Astrocyte,4.528153419494629
aajkcdej-1,Br2039,Xenium,436.0862121582031,1274.044677734375,Astrocyte,4.981171607971191
aajmbccb-1,Br2039,Xenium,511.154296875,1235.8408203125,Microglia,4.6056928634643555
aakccoak-1,Br2039,Xenium,484.5611877441406,1291.0804443359375,Astrocyte,4.705039978027344
aakdnnog-1,Br2039,Xenium,509.2080078125,1324.192138671875,Astrocyte,5.006884574890137
aakebdkc-1,Br2039,Xenium,508.9503173828125,1280.39501953125,Astrocyte,5.1783552169799805
aakedfah-1,Br2039,Xenium,256.2581787109375,1210.7745361328125,Oligodendrocyte,1.1050339937210083
aakjncij-1,Br2039,Xenium,290.1817932128906,1206.740478515625,Unknown,0.0
